AFR_T,LFR_T,BFR_T,D5_T,D10_T,D50_T,D90_T,AFR_V1,LFR_V1,BFR_V1,D5_V1,D10_V1,D50_V1,D90_V1,AFR_V2,LFR_V2,BFR_V2,D5_V2,D10_V2,D50_V2,D90_V2,AFR_V3,LFR_V3,BFR_V3,D5_V3,D10_V3,D50_V3,D90_V3
4.0831647,18.37424,6.1247473,8.755716,12.751894,50.95709,770.09924,3.0623736,12.249495,3.0623736,8.553769,12.1319275,47.085865,756.4978,3.0623736,14.291077,6.1247473,8.8317,12.9881115,53.41101,776.1035,4.59356,18.37424,2.0415823,8.2581415,11.218065,42.592545,728.6664
4.1236067,18.55623,6.18541,8.7613,12.768303,50.90615,769.93097,3.0927052,12.37082,3.0927052,8.484085,11.9172125,45.881824,750.60547,3.0927052,14.432623,6.18541,8.965373,13.392288,55.703415,780.4014,4.639058,18.55623,2.0618033,8.10394,10.741383,39.637035,694.7309
4.1626945,18.732124,6.2440424,8.756565,12.753511,50.735218,769.44086,3.1220212,12.488084,3.1220212,8.461058,11.84616,45.494404,748.46796,3.1220212,14.56943,6.2440424,9.036121,13.6044035,56.967365,782.43005,4.683031,18.732124,2.0813472,8.063059,10.6175585,38.814796,678.76215
4.2,18.9,6.3,8.753603,12.744347,50.649403,769.1956,3.15,12.6,3.15,8.45445,11.825762,45.384155,747.8352,3.15,14.700001,6.3,9.063155,13.685125,57.463516,783.1806,4.725,18.9,2.1,8.05239,10.585452,38.591,673.4599
4.235114,19.058014,6.352671,8.752251,12.740182,50.61414,769.09644,3.1763356,12.705342,3.1763356,8.452523,11.819816,45.352097,747.64905,3.1763356,14.822899,6.352671,9.071487,13.709953,57.615406,783.41327,4.7645035,19.058014,2.117557,8.049411,10.576501,38.52707,671.8602
4.2676525,19.204435,6.4014783,8.751546,12.738017,50.5977,769.0511,3.2007391,12.802957,3.2007391,8.451845,11.81772,45.34081,747.58325,3.2007391,14.936783,6.4014783,9.073441,13.715745,57.6476,783.46826,4.801109,19.204435,2.1338263,8.048469,10.573674,38.50708,671.3584
4.297258,19.33766,6.4458866,8.751046,12.736486,50.587116,769.0219,3.2229433,12.891773,3.2229433,8.451477,11.816584,45.334686,747.5475,3.2229433,15.040404,6.4458866,9.073491,13.715869,57.644196,783.46826,4.834415,19.33766,2.148629,8.048092,10.572543,38.4995,671.1705
4.323607,19.456232,6.48541,8.750594,12.735102,50.577995,768.9963,3.242705,12.97082,3.242705,8.451169,11.815635,45.32958,747.51764,3.242705,15.132624,6.48541,9.073025,13.714453,57.63129,783.45215,4.864058,19.456232,2.1618035,8.047877,10.571898,38.49549,671.07166
4.3464103,19.558846,6.519615,8.750136,12.733704,50.568928,768.97046,3.2598076,13.03923,3.2598076,8.450858,11.814674,45.32441,747.48737,3.2598076,15.212435,6.519615,9.07242,13.712622,57.615868,783.43097,4.8897114,19.558846,2.1732051,8.0477085,10.571392,38.49248,670.9971
4.3654184,19.64438,6.548127,8.749658,12.73224,50.559483,768.94336,3.2740636,13.096254,3.2740636,8.450529,11.813657,45.31893,747.4553,3.2740636,15.278964,6.548127,9.071765,13.710643,57.599483,783.40765,4.9110956,19.64438,2.1827092,8.047549,10.570914,38.489704,670.9274
